Plate	Inplatecount	Sample	FcR2A_N	FcR2A_zebra	FcR2A_Eadp501	FcR2A_RBD wuhan	FcR2A_AMA1	FcR2A_MSP1	FcR2A_HRPII	FcR2A_FL spike	FcR2A_pp28	FcR2A_EBNA1	FcR2A_VCA	FcR2A_BSA	FcR2A_CelTos	FcR2A_CSP
PLATE1	1	HC19-KC064	1631	15937	1952.5	213.5	44673.5	42050.5	34796.5	-0.5	5106.5	23049.5	14132.5	330.5	1535.5	1196.5
PLATE1	1	HC19-KC065	836.5	85.5	-35.5	215.5	15539.5	19600.5	21379.5	-70	674.5	16452.5	9266.5	358.5	1407.5	4822.5
PLATE1	1	HC19-KC066	314.5	16117.5	-40	474.5	41881	45873	65535	450.5	11928.5	47036	27465.5	363	246	23268.5
PLATE1	1	HC19-KC067	355	18016	-81	12	13624.5	27106	149	-88.5	2819.5	10951.5	4229	312	123	1082
PLATE1	1	HC19-KC068	1204	437.5	-10	696.5	17806	27329	20338	449.5	7729.5	15153.5	6085.5	567.5	555.5	14070
PLATE1	1	HC19-KC069	7149	56	-89.5	139	14286	19167	26842.5	-47.5	1998	15237	8611	313	260	72
PLATE1	1	HC19-KC070	1051.5	5220.5	500.5	1185.5	10328	14716	16339	1822	8525.5	6288	10056.5	403.5	4567.5	8496
PLATE1	1	HC19-KC071	746.5	2153	476	122	16357	51302	5851	-36	17303	15429	19710	249	416	29
PLATE1	1	HC19-KC072	7039.5	-210.5	-352	5426	29628	52278.5	16627	-87.5	12406	17003	18429	823	1928	9459
PLATE1	1	HC19-KC073	1779.5	53	-13	265.5	24393	40907	18827	51.5	7254	8060	18941	265	13179	8999.5
PLATE1	1	HC19-KC074	28.5	4849.5	-1.5	79.5	36366.5	62734.5	4337.5	-39.5	2853.5	45170.5	30413	152.5	332	5826.5
PLATE1	1	HC19-KC075	556	735	1525	624	17365	21494	19715	128	11938	13958	7398	244	1079.5	10817.5
PLATE1	1	HC19-KC076	-172.5	-191	-203.5	72.5	16184.5	34873.5	4029.5	-148.5	6054.5	16808	7072.5	413.5	25	2741.5
PLATE1	1	HC19-KC077	5366.5	159	79.5	1786.5	18444.5	24729	11981	-34	12773.5	10267	14677	396.5	222.5	22026
PLATE1	1	HC19-KC078	-16	-55.5	-90.5	677.5	30070	35966.5	14475.5	-33	4644.5	15843.5	20900.5	301.5	1114.5	7259
PLATE1	1	HC19-KC081	-137	915	-178	31	11473.5	30201.5	720	-138	2974	13308	7521	421	608	6828
PLATE1	1	HC19-KC082	2394.5	2005	5845	521.5	29105	31226.5	1148	19	529	19285.5	19947	160	228	1705.5
PLATE1	1	HC19-KC083	-12.5	15489	42	177.5	43670.5	86371.5	6065.5	-28.5	2415	50126	10878	215.5	141.5	54551.5
PLATE1	1	HC19-KC084	24662.5	-79	-95.5	834	46457.5	92100.5	21400.5	-46	15388.5	49867.5	26053.5	428.5	11269.5	14920.5
PLATE1	1	HC19-KC086	-406	-446.5	-261	2636	25725.5	24938	2370	-386	4735	14231	3044	814	939.5	9681
PLATE1	1	HC19-KC087	3303.5	448	60	1335	34946	54882	34113	982	21796	29677	13131	1014	1600	23917
PLATE1	1	HC19-KC088	39861.5	-108.5	-407.5	295.5	70232.5	114780.5	84375	-200	3622	65146	45495.5	649.5	416.5	-118
PLATE1	1	HC19-KC089	11330	59142	2639.5	5453	73079	98307	72862	4134	38385	48672	63704	1259	31793	66350
PLATE1	1	HC19-KC090	2188.5	4248	1155.5	276	14586	103387	11646	-189.5	41857	48084	48107	547	813	-144
PLATE1	1	HC19-KC091	2770	-50.5	-145	1528	13178.5	35007	9748.5	62	6906	13130	6475	349	641	4523
PLATE1	1	HC19-KC092	2319.5	29	-30	272.5	30410	59287.5	24285.5	-35	7102.5	11673	24252	292	12621.5	9588.5
PLATE1	1	HC19-KC093	60.5	6152.5	-13	142	41623	84095	6864	-10.5	5044.5	57783.5	40688	188	293.5	6854
PLATE1	1	HC19-KC094	1335	714.5	2415.5	1131.5	17596.5	20219.5	25100.5	250.5	12567.5	17641.5	13118.5	446.5	1892.5	15600
PLATE1	1	HC19-KC095	8280	4034	138.5	466	18540	17285	21893	8	7007.5	5438.5	18026.5	826	148	835
PLATE1	1	HC19-KC096	-1034	1510	-2081	736	22444	23721	19729	-165.5	4235.5	19205	15806	2579	-828	6301
PLATE1	1	HC19-KC097	182	171	110.5	4827	16456.5	34978	31101	12	1801	8974	12458	263	6606.5	1696
PLATE1	1	HC19-NM031	1218	-429.5	-433	-24.5	3986.5	59426	272.5	-78	4927.5	49264.5	22793	712.5	7064.5	4387
PLATE1	1	HC19-NM032	-43.5	-47.5	-95	66	11916.5	66239.5	457.5	-101	3096	77085.5	25534.5	354.5	-40.5	-71.5
PLATE1	1	HC19-NM033	-45	238.5	-85	62	3373.5	45072.5	843.5	-65.5	6609.5	35081.5	17700.5	296.5	142.5	-3
PLATE1	1	HC19-NM034	-240	-279	-423	355	2231.5	33595	-163.5	-169.5	8520	37141.5	30458.5	666	-231.5	-187
PLATE1	1	HC19-NM035	-1244	-1732	-1760.5	290.5	1197.5	45351.5	-1484.5	-1370.5	1684	68743.5	50244.5	2013.5	-1463.5	-1376.5
PLATE1	1	HC19-NM036	-266.5	-350	-380	178	4965	66677	-14.5	-273	1489	50766.5	39955	613	-158	-157
PLATE1	1	HC19-NM037	-2.5	-2	-12	6521.5	2756	46457.5	427	-6	13609	35589	22906.5	200	55	50
PLATE1	1	HC19-NM038	44197	-256	-304	75	9604	100446.5	976	-245	3986	94584	50698	488	-56	-167
