Plate	Inplatecount	Sample	IgG1_RBD alpha	IgG1_N	IgG1_RBD beta	IgG1_RBD omicron	IgG1_RBD lambda	IgG1_RBD gamma	IgG1_zebra	IgG1_Eadp501	IgG1_RBD delta	IgG1_RBD wuhan	IgG1_AMA1	IgG1_MSP1	IgG1_HRPII	IgG1_Tetanus	IgG1_HCoV-229E	IgG1_HCoV-NL63	IgG1_HCoV-OC43	IgG1_pp28	IgG1_pp65	IgG1_EBNA1	IgG1_VCA	IgG1_FL spike	IgG1_BSA	IgG1_CelTos	IgG1_CSP	IgG1_HCoV-HKU1
PLATE1	1	MBL-128	2970.5	233	81.5	68.5	118.5	127.5	80.5	78	485.5	728.5	23867.5	42741	361.5	401.5	1062.5	1033	52086.5	1141.5	839.5	102402.5	39016.5	704.5	102.5	8910.5	628	32127.5
PLATE1	1	MBL-129	107	-101	-222	-229.5	-195	-184	3074	-217	112	327	257.5	7926.5	-128.5	-183	12164	32637	82335	1164	9	71675.5	41502.5	296	336	378	224.5	15995.5
PLATE1	1	MBL-130	778.5	1858.5	19	19.5	87.5	60	880.5	1681.5	1435.5	172.5	1976	40876.5	221	673.5	636.5	5785.5	72112.5	18072.5	170	103760	103417.5	222	93.5	331.5	200.5	24276
PLATE1	1	MBL-131	92	37	35	-6	32.5	53	3009.5	19	89	59	89958	6006	102	410	559	1510	3402	17020.5	260	106295.5	156051.5	149	117	135	1320	17100.5
PLATE1	1	MBL-132	161	53.5	26	26.5	46	58	128	25	232.5	76	7151	23461	189	34098	32749.5	26192	76427	2786	113	62729	55188	193	86	157	192.5	29071
PLATE1	1	MBL-133	159.5	106	23	-18	8	50	71	25.5	186	61.5	708	4928	73	1376	1508	6180	3965.5	2110	173	57824.5	82194	209.5	112	143	349	12735.5
PLATE1	1	MBL-134	990	573.5	293	43.5	338.5	373.5	1674	177	1204	780	101441.5	30881	678	64264	1272	7706	27658.5	3106.5	198	19638	127079	626.5	104	796.5	2435.5	8038
PLATE1	1	MBL-135	3003	204	81	1824.5	152	347	102.5	64	545	717	29939	41032.5	296	4889	24752	23609	132455.5	43192	290	30373	99391.5	384	86	362	223	111285
PLATE1	1	MBL-136	319.5	133.5	65.5	34.5	78.5	108	14230.5	80.5	442	175.5	1605.5	40725.5	300.5	14517.5	1119.5	10928.5	24536.5	52561.5	251.5	109241	102363.5	554.5	84.5	116.5	25941.5	12030.5
PLATE1	1	MBL-137	263.5	62.5	74.5	40.5	68	137.5	11902	72.5	312.5	164.5	460.5	34222	236.5	11357.5	644.5	6484	14678.5	36312.5	217	127598.5	100132.5	500.5	64.5	158	15251.5	5162.5
PLATE1	1	MBL-138	1812	731.5	101.5	16	109	102.5	43797.5	48.5	484.5	475.5	1081.5	11427	185	1937.5	40747	36599.5	75513.5	4101.5	3075.5	72588	107640.5	917	120.5	348.5	570.5	77660.5
PLATE1	1	MBL-139	458	113	73.5	16.5	73.5	221.5	64.5	48.5	203.5	123	120203	17926.5	582.5	2061.5	13637.5	20382.5	57685.5	52589.5	127.5	573.5	23935.5	170.5	79.5	323.5	7520.5	5947.5
PLATE1	1	MBL-151	358	159	-10	-9	41	23	-12.5	-12	6255	68	599	13122	46	22417	3099	34527	84546	70242	8685	39188.5	105933.5	313.5	182	95	156	50259
PLATE1	1	MBL-152	36063.5	2788	11137.5	468.5	42072.5	11376.5	9542.5	92.5	30853.5	22513.5	169072.5	140510.5	2419.5	28877	8763.5	7488.5	66133.5	31927.5	236.5	68167.5	72531.5	14236.5	108.5	3283.5	3453.5	11503.5
PLATE1	1	MBL-153	7449.5	1746	1452.5	138	5713	1304	28055	100	5532	3289.5	121238	30843	2314	4905	9050	11040	39903	16223	161.5	81913	127578.5	1083	73	5077	3179	32603
PLATE1	1	MBL-154	2178	673	288	107.5	551.5	491	519.5	142.5	6345.5	1508.5	150136	185701.5	7990.5	14431.5	32652.5	64985.5	84270.5	85573.5	417	105624	137031.5	837	114.5	3985.5	6736.5	120442.5
PLATE1	1	MBL-156	66455	2790	67072	969	63074	44908	138	50	69312	75241	33505.5	34397	342.5	43857	41549	30855	45193.5	26491	161.5	45868	40658	33277	61	333	17396.5	44073.5
PLATE1	1	MBL-157	156527.5	18719	89257	26317	109410.5	71114.5	126	51	187637.5	143948.5	104863.5	195029.5	19199	549.5	47578.5	79271.5	142771.5	2218.5	380.5	1996	92958.5	63573.5	86.5	264.5	490.5	59026.5
PLATE1	1	MBL-158	209.5	88.5	56.5	34.5	55.5	134.5	3272	118.5	196	45.5	87136	59464	7769.5	3592.5	3738	1596.5	9061	672.5	405.5	79252.5	74853.5	546.5	48.5	319.5	365	517.5
PLATE1	1	MBL-159	3891.5	3418	1143.5	75	2299.5	864	83.5	37.5	12782	3478	682.5	36531.5	227	3375.5	2175.5	1078.5	76015.5	956.5	359	83076.5	70566.5	1980.5	97.5	505	1076.5	4394.5
PLATE1	1	MBL-160	852.5	39	36	16	44.5	88.5	4790.5	30.5	16087	115	5292.5	42416	263.5	25289.5	28466.5	22296.5	43410	59268	971	75994	47934.5	127.5	96.5	200.5	159.5	60387.5
PLATE1	1	MBL-161	13654.5	2927	3491.5	69	4756	3142	1754	18.5	12274	6438	79564.5	86179	16527	50259	11784	11892	78136	1673	47	64769	91743.5	3399	125	179.5	286.5	66996.5
PLATE1	1	MBL-162	28671.5	31436	8936	1169.5	19017	6473.5	379.5	88.5	85464.5	22147.5	943	42415.5	239	9703	3619.5	60181.5	71480.5	45991.5	402.5	83271.5	83808	12993.5	85.5	280.5	146.5	2484.5
PLATE1	1	MBL-163	2025	74	196	82	216	334	46.5	43.5	224	570	114185	137629	2936	266.5	16707	24076	69216	18855	184	61070	62978	171.5	88	279	40665	38426
PLATE1	1	BL763	245.5	70.5	61.5	68	47.5	99.5	1391.5	107.5	152.5	146.5	116070	44092.5	293.5	11285.5	3050.5	45120.5	48776.5	767	340.5	117487	138108.5	504.5	76.5	288.5	419.5	28646
PLATE1	1	BL764	439.5	59.5	80.5	-20.5	951.5	75.5	4987.5	2847.5	191.5	248.5	695	46904	700.5	1984	638.5	587.5	538.5	4061.5	288.5	133928.5	118367.5	357.5	155.5	448	948.5	93
PLATE1	1	BL765	326	138	244.5	423.5	60	487	64	82	555	164	2040.5	27424	387	17393	41683	14448.5	142154	17747	479	120127	11551	737	110	948.5	1788.5	59620
PLATE1	1	BL766	651.5	1094.5	-7	-64.5	-31	-12.5	-1.5	-20.5	77.5	610.5	111357.5	44589.5	398.5	856.5	743.5	22847.5	64491.5	12599.5	180.5	125021.5	88278.5	189.5	196.5	697.5	4661	36032.5
PLATE1	1	BL767	632	410	46	58	60.5	92	1537.5	224.5	195.5	199	91052.5	149045.5	5418.5	68.5	783.5	2771	106567.5	376.5	156.5	260.5	100763	186	96.5	191	2103.5	18137.5
PLATE1	1	BL768	363.5	591.5	109.5	324.5	214.5	174.5	21449.5	349.5	500	266.5	68771.5	126822	11105.5	28395.5	2172.5	29995	64704.5	72267.5	543	92718.5	67766	406.5	98.5	647.5	4582.5	6080.5
PLATE1	1	BL769	172.5	32	279	135	90	87	4081	14	178.5	70	89801.5	112960	829.5	147	91344	106745	110938	3436	250.5	70733	31682.5	394.5	79	130.5	61970.5	22942.5
PLATE1	1	BL770	1053.5	20.5	28.5	-1	119.5	60.5	7316.5	90.5	209.5	5871.5	65843.5	106391.5	2220.5	25147.5	41394.5	79314	42034.5	15319	200.5	229.5	58189.5	265	78.5	268.5	36596	28072.5
