Plate	Inplatecount	Sample	IgA1_RBD alpha	IgA1_N	IgA1_RBD beta	IgA1_RBD omicron	IgA1_RBD lambda	IgA1_RBD gamma	IgA1_zebra	IgA1_Eadp501	IgA1_RBD delta	IgA1_RBD wuhan	IgA1_AMA1	IgA1_MSP1	IgA1_HRPII	IgA1_Tetanus	IgA1_HCoV-229E	IgA1_HCoV-NL63	IgA1_HCoV-OC43	IgA1_pp28	IgA1_pp65	IgA1_EBNA1	IgA1_VCA	IgA1_FL spike	IgA1_BSA	IgA1_CelTos	IgA1_CSP	IgA1_HCoV-HKU1
PLATE1	1	HC19-NM036	1773.5	5	-852.5	-1243	-139.5	-301.5	-1187.5	-1235.5	4372.5	3179	637.5	1361.5	-1057	-868.5	-139.5	2689.5	6140.5	390.5	-656.5	592	1452.5	-36.5	1739.5	566	-161.5	1583
PLATE1	1	HC19-NM037	445.5	-845.5	-1467	-1080	-1333.5	-1138.5	-1600.5	-956.5	8.5	703.5	707	-366.5	-1425	-1020.5	9591.5	6640	16589	523.5	-1043.5	-69.5	8706.5	-41	2004.5	351	-485.5	1251.5
PLATE1	1	HC19-NM038	-390.5	1283	-777	-582	-499	-391	-718	-408	-525	399	698	761	-479	-583	837	860	849	452	-302.5	153	3427	-216	1160	492	87	6039
PLATE1	1	HC19-NM039	-20	338.5	-987	-1037	-952	-616	-1055	-743	418	793	549	2312	-945	1850	-377.5	645	16453	2875	-716	97	1059.5	-236	1523	743.5	-212.5	2313
PLATE1	1	HC19-NM040	5555.5	83611.5	-984	-512	-850.5	-635.5	-961.5	-877	-208.5	3004	1205	-329.5	-867.5	-765.5	1427.5	2063.5	5629.5	493.5	-632.5	769.5	847.5	-268	1419.5	821	1678.5	192884.5
PLATE1	1	HC19-NM041	11235	-2379	-2733	-1961	-2785.5	-2603.5	-2920	-2056	1658	9156	2545	-2213.5	-2754	-2793	-506	-199.5	438	404	-2000.5	-215	2306	-272	3313	1109	-1115	-864
PLATE1	1	HC19-NM042	-1311.5	-1492.5	-1714	-1735.5	-1889	-1083	-1848.5	-1291	-615	315	1040	-781.5	-1657.5	-1705.5	100601.5	927.5	202693.5	1426.5	-1051.5	539	781.5	-513.5	2290.5	1074.5	-395.5	72723
PLATE1	1	HC19-NM043	2793	-1547	-3138.5	-2764.5	-2492	-2507.5	-3150.5	-2647	197	2915	1021.5	-18	-2818.5	-2142.5	-1378	630	10967	2743	663	48.5	9811	-665	3785	1405	1480	5434
PLATE1	1	HC19-NM044	-362	-368.5	-804.5	-938.5	-697	-404	-967.5	-741.5	-654	532	555.5	905	-866	-908.5	5856	3973	12903.5	397	-640	364	1203	-141.5	1252	668	-302	236
PLATE1	1	HC19-NM045	-203	-253	-602	57.5	-508.5	-454.5	-553	-23	-323.5	73	809.5	-72.5	-515	1382	551	938.5	6331	433	-203	385	6204	-181.5	861	271	370	199
PLATE1	1	HC19-NM046	-311	-324	-759	-233	-696	-622.5	-759	-112	-434.5	225	1372.5	17.5	-675	-698	3804.5	5908	6738	314	-362	1413	4236	-73	1039	511	-327	272
PLATE1	1	HC19-NM047	135	-1263	-1737.5	-1354.5	-1011	-1354	-1767.5	-1631	-979	1554.5	1909	54423	-1226	-313	-221	1140	11236	2018	964.5	-183	2874	-238	2249	9100	-527	11711
PLATE1	1	HC19-NM048	852.5	696.5	-657.5	-467	-689.5	-513.5	-827.5	-390.5	229.5	951.5	482.5	615.5	-730	-583	3039.5	1115.5	1530.5	564	-422	4.5	907	-125	1162.5	718.5	-135.5	-156.5
PLATE1	1	HC19-NM049	1467	-535	-1113	-1186	-1039	-393	-1329	-1143	-533.5	1296	771	-518	-957.5	-1016	725.5	1020	7635	892.5	-613	-161	3519	-308	1777	542	-77	4661.5
PLATE1	1	HC19-NM050	-286	-613	-1151.5	-1044.5	-819	-955.5	-1044	-932	-213	839.5	796	862	-871	-693.5	1017	746	5783.5	2517	-385	434	682	-282	1536	1544	72	593
PLATE1	1	HC19-NM051	446.5	-807	-1936	-1347.5	-1833	-1610.5	-2092.5	-1697	1825.5	670.5	1813.5	1588.5	-1854.5	-1884.5	930.5	1638	23505	1765.5	-1179.5	2385.5	3550.5	-277.5	2532.5	697.5	177.5	1899.5
PLATE1	1	HC19-NM052	-1431.5	-1800.5	-2892	-2912	-2625	-2566.5	-2886.5	-2744	19558	948	2841	2441	-2641	-2669	149.5	4854	5008	5071.5	-1641	2596	3719	-277	3392	400.5	-671	1029.5
PLATE1	1	HC19-NM053	691.5	-1147	-393.5	-882.5	-319.5	654.5	-1551.5	-1536.5	-130.5	1005.5	8185.5	990.5	-1494	-1452	337.5	2816	7338.5	732.5	-727.5	2236.5	4792.5	-154.5	1899.5	263	-408.5	846.5
PLATE1	1	HC19-NM054	-305	230	-890	-864	-877	-717.5	-885	-523	-109	779	602	549	-647	-817	851	2519	3036	4672	-545.5	530	650.5	-123	1213	818	136.5	1533
PLATE1	1	HC19-NM055	157	79	-27	-48.5	1	21	-84.5	-34	525.5	159	105.5	91	-54	-86	28	107	2623	394	-1	-31	2814	-26	260	247	116	995
PLATE1	1	HC19-NM056	49	7.5	30.5	33.5	27	42	14	3.5	47	19	26	14	50.5	-7.5	33	79	54	17	12	-7	-14.5	-16	100	82	96.5	-11
PLATE1	1	HC-201K	43	-218	-639	-550	-503	-506	-845	234	665	655	241.5	1459	-763	-808	893	3345	33194	316	-185	314	1394	769	1088	684	912	15
PLATE1	1	HC-202K	1076.5	-726	-1729.5	-1197.5	-323.5	212.5	-1368.5	-954.5	1303.5	1112.5	1430	-599.5	-1876	-1769.5	6830.5	9863.5	11349.5	2753.5	-735.5	2211.5	4098.5	-129.5	2430.5	730	-179.5	-301.5
PLATE1	1	HC-203K	-940	-1428	-1686.5	-1692.5	-1510	-1487.5	-1507	-1558.5	-792.5	617	4257	-1379.5	-1544.5	-1603	79	50.5	2135	1402.5	-876	-385	903	-84	1965	135	6158	276
PLATE1	1	HC-204K	1259	-693	1913	-442.5	600.5	1895	-1169.5	-797	196	1444	1474.5	6635.5	-1036.5	-1112	366.5	1943	1090.5	2527.5	-706	-352	74	74	1599	5919	-508	183
PLATE1	1	HC-205K	-1909.5	-2106	-2355	-2428	-2304.5	-2160.5	-2055	-2463.5	-1571	1680	609	-2209	-2409	-2440	368	2087	124028.5	-1014	-2092	208384.5	3695	-924.5	2763	733.5	-1521	-558
PLATE1	1	HC-206K	430.5	-691	-733	-756	-835	-448.5	-939	-753.5	-407	642.5	960	-329	-798	-736	2684	1265	11830	511	3188	195	39479	-104	1321	186	-367	1339.5
PLATE1	1	HC-207K	-367.5	-684	-1177	526	-1168	-821	-1299	-236	-226.5	3675	737.5	17545	-352.5	-1139	-343	383.5	49	1088.5	-374.5	36	1194	-200	1689	700	-74	-587
PLATE1	1	HC-208K	-3387	-3551	-3896.5	-2686	-3658.5	-3761.5	-4319	-4287	41806	1051	356.5	-2992	-4185.5	-4243	-1846.5	-131.5	7856	-1001.5	-3198.5	-563	4025	-1537	4643	623.5	-2717	-1441.5
PLATE1	1	HC-209K	-1911	-3217	-2663	-3546	-3679	-2873.5	-3605.5	-3867	-468.5	2059	885	-3170.5	-3908	-3917	-1124	2703	54725	-1009	-2818	-747.5	6988	-345	4851	1608	-1235	3593.5
PLATE1	1	HC-210K	1411	465	-369.5	-146	4458	739	-824	-464.5	1506	746	6931	837	-969.5	-967	-91	3271	257796	3229.5	-511	192	899	-256	1527	397	364	304954
PLATE1	1	HC-211K	-299	866	-1677	-492.5	-1387	-1292.5	-1665.5	-1286	4995	1011	662	1656	-1516	-1444	2146	4607.5	11017.5	175.5	58	-14	6051	84.5	2314	859	-800	1139
PLATE1	1	HC-212K	2558.5	-178	3428.5	828.5	2988.5	3439.5	-235	-260.5	1444.5	2122	192.5	30	-210.5	-164.5	-31.5	21	83.5	329.5	-27.5	52.5	168.5	283	430.5	175.5	422.5	-59.5
PLATE1	1	HC-213K	223	-1634	-1361	-1741	-1597	-1056.5	-1496	-1976.5	-761	1719.5	561	19167.5	-1907	-1621	800.5	1349	247033	121.5	-1394	-346	2599	-333.5	2479	686	-571	-94.5
PLATE1	1	HC-214K	33468.5	-1058.5	9334	21	27225	9793	-1344	-1338	79151.5	8450.5	832	-125	-1222	-1251.5	1339.5	1091.5	4739	517	-688	396	1218	1359.5	1660	417	801	752
