Plate	Inplatecount	Sample	IgA2_RBD alpha	IgA2_N	IgA2_RBD beta	IgA2_RBD omicron	IgA2_RBD lambda	IgA2_RBD gamma	IgA2_zebra	IgA2_Eadp501	IgA2_RBD delta	IgA2_RBD wuhan	IgA2_AMA1	IgA2_MSP1	IgA2_HRPII	IgA2_Tetanus	IgA2_HCoV-229E	IgA2_HCoV-NL63	IgA2_HCoV-OC43	IgA2_pp28	IgA2_pp65	IgA2_EBNA1	IgA2_VCA	IgA2_FL spike	IgA2_BSA	IgA2_CelTos	IgA2_CSP	IgA2_HCoV-HKU1
PLATE2	1	HC19-KC137	-222	-297.5	-313	-333.5	-312	-296.5	-311.5	-345	-214	101	13.5	-305	-298.5	-322.5	-118	111	-27	-99	-254	28.5	269	-85	412	206	-276	-181.5
PLATE2	1	HC19-KC138	-2613	-2716	-2705	-2715	-2586	-2665	-2688	-2727.5	-2104	604	113.5	-2680.5	-2681	-2732.5	-2304	-86	-949	-1408	-1850	-10	2136	-1203	2812	1146.5	-2620	-2256.5
PLATE2	1	HC19-KC139	51	-43	13	-52	-17	33.5	-39	-68.5	145	41.5	243	-4	-24	-74	13	69.5	361	16	-19.5	46	131	-22	133	106	-26	-37
PLATE2	1	HC19-KC140	-10	-50	-54	-69	-50	-28	-52	-78	27.5	47.5	36.5	-51	-34.5	-90	43	69.5	77	18.5	-17	45.5	234.5	-31	152	140	-23	-42
PLATE2	1	HC19-KC141	-314.5	-442	-465	-449.5	-417	-411	-473	-469	-250	155	87	-393	-429	-501	5.5	592	662	60	40	-26	35.5	-56	573	165	-245.5	17.5
PLATE2	1	HC19-KC142	-261.5	-336	-325	-295.5	-308	-262	-302	-326	-190	86	122	-314	-299.5	-341	-109	126	-75.5	-47	-217	-6	78	-120.5	425	195	-304	-198
PLATE2	1	HC19-KC143	-14	-169.5	-176	-114	-145.5	-130	-159	-179	131	129	11.5	-140	-148.5	-191	-47	34	-48	39	-111	7	124	-79	270	184.5	-111	-128
PLATE2	1	HC19-KC144	-197.5	-162	-225.5	-210.5	-216.5	-178.5	-212.5	-224.5	-115.5	7.5	153.5	-187.5	-198.5	-242.5	-60.5	52.5	466	-17.5	-140.5	-26.5	15662.5	-91	319.5	360	-141	-81.5
PLATE2	1	HC19-KC145	-196	-305	-307	-321.5	-320	-254	-312	-328	-171	107.5	91	-255.5	-284	-333	-176	256	-34	-58	-210	-4	73	-69	414	189	-237	-169
PLATE2	1	HC19-KC146	15	1	-11	-21	-10.5	12	4	-35	25	19	44	7	10	-29	37	78	51	6	2	21	-1	-18	93	78	8	-19
PLATE2	1	HC19-KC147	-157.5	-167	-181	-185	-164	-136	-169	-186	-125	-9.5	18	-151.5	-138	-185	-39	107	-0.5	5	-80.5	-24.5	37	-65	252	93	-160.5	-77
PLATE2	1	HC19-KC148	-976	-1002.5	-1047.5	-1041	-1032	-1003.5	-1027	-1058	-927	774	307	-999.5	-1010	-1055	-802	1	700	6754	-907	458	710.5	-272	1137	962	-1015	-642
PLATE2	1	HC19-KC149	-182	-265.5	-322	-347.5	-248	-224	-332	-360	-142	200	122	-269	-313	-362	-134	94.5	171	13.5	-183	40	92	-38	434	222	-293	-165
PLATE2	1	HC19-KC150	-39	-69.5	-90.5	-85.5	-94	-59	-77.5	-106	-1	57	40	-69	-51.5	-114	2	62	192	20	-30	-4	19.5	-28.5	178	141	-25	-62
PLATE2	1	HC19-KC151	-360.5	-333	-397	-403.5	-377.5	-321	-400	-426.5	-342.5	61	73.5	-384	-367	-416.5	-222.5	101	-163	96.5	-281.5	81.5	55	-103.5	513	264	-339.5	-272
PLATE2	1	HC19-KC152	-186	-249.5	-243	-250	-259	-218.5	-251.5	-270	-162	94	104.5	-241.5	-234	-279	-95	9	52	55.5	-157.5	-35	-66	-97	357	211	-186	-113.5
PLATE2	1	HC19-KC153	-274.5	-382	-417	-395.5	-380.5	-363	-414	-420	-277.5	155	106	-401	-387	-446	-252	65.5	-184	110	-289	-2	12	-118	528	340	-68	-303.5
PLATE2	1	HC19-KC154	-130	-157	-159.5	-161	-166.5	-85	-154	-183.5	-110.5	27	-33.5	-182	-139.5	-192	-31	59	-7.5	78	405.5	67	323	-49	262	164	-118	-67.5
PLATE2	1	HC19-KC155	216.5	-274.5	-49.5	-291.5	-194.5	-5	-272	-305	496	150	76	-88	-248.5	-300	-80	96	63.5	160	-199	35.5	139.5	-89	391	203.5	-220	-158
