Plate	Inplatecount	Sample	IgG1bindingaffinity_RBD alpha	IgG1bindingaffinity_N	IgG1bindingaffinity_RBD beta	IgG1bindingaffinity_RBD omicron	IgG1bindingaffinity_RBD lambda	IgG1bindingaffinity_RBD gamma	IgG1bindingaffinity_zebra	IgG1bindingaffinity_Eadp501	IgG1bindingaffinity_RBD delta	IgG1bindingaffinity_RBD wuhan	IgG1bindingaffinity_AMA1	IgG1bindingaffinity_MSP1	IgG1bindingaffinity_HRPII	IgG1bindingaffinity_Tetanus	IgG1bindingaffinity_HCoV-229E	IgG1bindingaffinity_HCoV-NL63	IgG1bindingaffinity_HCoV-OC43	IgG1bindingaffinity_pp28	IgG1bindingaffinity_pp65	IgG1bindingaffinity_EBNA1	IgG1bindingaffinity_VCA	IgG1bindingaffinity_FL spike	IgG1bindingaffinity_BSA	IgG1bindingaffinity_CelTos	IgG1bindingaffinity_CSP	IgG1bindingaffinity_HCoV-HKU1
PLATE1	1	HC-068K	60579.5	2784.5	35739.5	12797	42331.5	35397.5	100.5	42	89183.5	55264.5	17662.5	114685.5	2990.5	10060.5	1338	30607.5	81496.5	29968.5	189.5	58846	88065.5	14397.5	140.5	230	2061.5	13713
PLATE1	1	HC-069K	49513	27353	28265	6533.5	29292	26806	194.5	-2	51395	73680	32736	42465	808	6360	2952	24137	66176	3791	108	39077	25642	13938	133	269	658	36636.5
PLATE1	1	HC-070K	47143	20603.5	47439	9289	76933	53142	5228	28.5	85258	100244	52765	24481	272.5	30788	2702.5	22554	84118	10857	334	53119	56860	22417	302	669	11379	50906
PLATE1	1	HC-071K	17339.5	21115	9505	13279	6967	7636	914	169	40024	13476	1262	50289	607	48749	3781.5	60530	145053	79793.5	340	80717	102603.5	21708	167	426	710	18606
PLATE1	1	HC-072K	18761.5	9859.5	4804	128	7620.5	6798	666	137.5	16255.5	14731.5	30269	101916	1113	1558.5	2324	14584.5	81979.5	74658	349	109306	88640	4568	182	867.5	9513	17290
PLATE1	1	HC-073K	5475	9027.5	2157.5	5573.5	2261.5	2695	207	65.5	24261.5	6411.5	7460	168249	1738.5	3940	6759.5	25880.5	7074	27249.5	957.5	98005.5	132357.5	9844	168.5	3009.5	18330.5	63973
PLATE1	1	HC-074K	1606.5	308.5	2115.5	472.5	983.5	918.5	108	65	4282.5	1752.5	91870	79951.5	925.5	1726.5	7744.5	6779.5	90626.5	7392.5	305.5	5838.5	133988.5	454.5	134.5	1034	29997.5	2802
PLATE1	1	HC-075K	13249	11109.5	4811	145.5	8319.5	3743	992	51.5	25878	12262.5	20119	19366	617	1472	11136	9457.5	32356	3340	183	22753	23848	4465	125	589.5	2193	25969.5
PLATE1	1	HC-076K	1013	2948.5	189.5	591	314.5	379	105.5	47	2795.5	1946	77041	93510	16754	19172	610	780	118510	8789	469	96190	66252	3134	148	233	332	23506
PLATE1	1	HC-077K	47996.5	9850	12077	902	20909	16196	151.5	32.5	35736	28961	7911	28277	269.5	26840	1710	38154	91221	18172	229.5	112560	118684	13220	190	189	591	36466
